mmcif_id,chain_or_interface_id,metrics,value
8AAJ_1,global,tm_score,0.78249
8AMU_1,poly:A||poly:C,DockQ,0.014
8AMU_1,global,tm_score,0.36614
8AP3_1,poly:A||poly:C,DockQ,0.806
8AP3_1,global,tm_score,0.96778
8AQA_1,poly:A||poly:C,DockQ,0.976
8AQA_1,global,tm_score,0.99189
8B01_1,poly:A||poly:C,DockQ,0.196
8B01_1,global,tm_score,0.86473
8B9G_1,poly:A||poly:C,DockQ,0.367
8B9G_1,global,tm_score,0.84223
8B9I_1,poly:A||poly:C,DockQ,0.275
8B9I_1,global,tm_score,0.83404
8B9U_1,poly:A||poly:C,DockQ,0.198
8B9U_1,global,tm_score,0.4847
8CTH_1,poly:A||poly:C,DockQ,0.015
8CTH_1,global,tm_score,0.92346
8CTI_1,poly:A||poly:C,DockQ,0.064
8CTI_1,global,tm_score,0.95464
8CYF_1,poly:A||poly:C,DockQ,0.022
8CYF_1,global,tm_score,0.93116
8D29_1,poly:A||poly:C,DockQ,0.251
8D29_1,global,tm_score,0.92078
8D35_1,poly:A||poly:C,DockQ,0.881
8D35_1,global,tm_score,0.98247
8D5J_1,poly:A||poly:C,DockQ,0.914
8D5J_1,global,tm_score,0.974
8D5K_1,poly:A||poly:C,DockQ,0.93
8D5K_1,global,tm_score,0.96964
8DC2_1,poly:A||poly:C,DockQ,0.177
8DC2_1,global,tm_score,0.35676
8DCN_1,poly:A||poly:C,DockQ,0.046
8DCN_1,global,tm_score,0.66196
8DCY_1,poly:A||poly:C,DockQ,0.02
8DCY_1,global,tm_score,0.69595
8DS5_1,poly:A||poly:C,DockQ,0.134
8DS5_1,global,tm_score,0.83216
8DZJ_1,poly:A||poly:C,DockQ,0.136
8DZJ_1,global,tm_score,0.69058
8E0F_1,poly:A||poly:C,DockQ,0.659
8E0F_1,global,tm_score,0.93573
8E13_1,poly:A||poly:C,DockQ,0.919
8E13_1,global,tm_score,0.97711
8E28_1,poly:A||poly:C,DockQ,0.24
8E28_1,global,tm_score,0.92485
8E5D_1,poly:A||poly:C,DockQ,0.069
8E5D_1,global,tm_score,0.77601
8E9A_1,poly:A||poly:C,DockQ,0.018
8E9A_1,global,tm_score,0.95551
8EIA_1,poly:A||poly:C,DockQ,0.004
8EIA_1,global,tm_score,0.74135
8ELG_1,poly:A||poly:C,DockQ,0.85
8ELG_1,global,tm_score,0.98209
8ELH_1,poly:A||poly:C,DockQ,0.896
8ELH_1,global,tm_score,0.98628
8ESA_1,poly:A||poly:C,DockQ,0.878
8ESA_1,global,tm_score,0.98235
8EX9_1,poly:A||poly:C,DockQ,0.05
8EX9_1,global,tm_score,0.91453
8F2Q_1,poly:A||poly:C,DockQ,0.882
8F2Q_1,global,tm_score,0.98374
8FFY_1,poly:A||poly:C,DockQ,0.2
8FFY_1,global,tm_score,0.95926
8FGX_1,poly:A||poly:C,DockQ,0.014
8FGX_1,global,tm_score,0.7391
8FHL_1,poly:A||poly:C,DockQ,0.857
8FHL_1,global,tm_score,0.95876
8FHU_1,poly:A||poly:C,DockQ,0.886
8FHU_1,global,tm_score,0.96991
8FJB_1,poly:A||poly:C,DockQ,0.901
8FJB_1,global,tm_score,0.66883
8GN3_1,poly:A||poly:C,DockQ,0.657
8GN3_1,global,tm_score,0.78692
8GN4_1,poly:A||poly:C,DockQ,0.486
8GN4_1,global,tm_score,0.87474
8GON_1,poly:A||poly:C,DockQ,0.921
8GON_1,global,tm_score,0.93855
8GQV_1,poly:A||poly:C,DockQ,0.899
8GQV_1,global,tm_score,0.97625
8GQW_1,poly:A||poly:C,DockQ,0.872
8GQW_1,global,tm_score,0.99078
8GW4_1,poly:A||poly:C,DockQ,0.873
8GW4_1,global,tm_score,0.99013
8GXB_1,poly:A||poly:C,DockQ,0.2
8GXB_1,global,tm_score,0.2549
8H0L_1,poly:A||poly:C,DockQ,0.062
8H0L_1,global,tm_score,0.85566
8H1J_1,poly:A||poly:C,DockQ,0.369
8H1J_1,global,tm_score,0.61808
8H7A_1,poly:A||poly:C,DockQ,0.092
8H7A_1,global,tm_score,0.56243
8HDD_1,poly:A||poly:C,DockQ,0.068
8HDD_1,global,tm_score,0.77575
8HHD_1,poly:A||poly:C,DockQ,0.043
8HHD_1,global,tm_score,0.49911
8HIG_1,poly:A||poly:C,DockQ,0.016
8HIG_1,global,tm_score,0.93978
8HNW_1,poly:A||poly:C,DockQ,0.353
8HNW_1,global,tm_score,0.71239
8HSM_1,poly:A||poly:C,DockQ,0.737
8HSM_1,global,tm_score,0.97847
8HUD_1,poly:A||poly:C,DockQ,0.364
8HUD_1,global,tm_score,0.73256
7UVH_1,poly:B||poly:C,DockQ,0.023
7UVH_1,global,tm_score,0.75584
7UXY_1,poly:B||poly:C,DockQ,0.525
7UXY_1,global,tm_score,0.93593
7XQ5_1,poly:B||poly:C,DockQ,0.653
7XQ5_1,global,tm_score,0.89987
7YCS_1,poly:B||poly:C,DockQ,0.473
7YCS_1,global,tm_score,0.73463
7YF6_1,poly:B||poly:C,DockQ,0.379
7YF6_1,global,tm_score,0.94553
7ZTH_1,poly:B||poly:C,DockQ,0.241
7ZTH_1,global,tm_score,0.96445
7ZWK_1,poly:B||poly:C,DockQ,0.952
7ZWK_1,global,tm_score,0.99193
7ZYH_1,poly:B||poly:C,DockQ,0.11
7ZYH_1,global,tm_score,0.61876
8A1P_1,poly:B||poly:C,DockQ,0.144
8A1P_1,global,tm_score,0.75165
8A3J_1,poly:B||poly:C,DockQ,0.879
8A3J_1,global,tm_score,0.95139
8AQA_1,poly:B||poly:C,DockQ,0.817
8AQA_1,global,tm_score,0.99189
8AQK_1,poly:B||poly:C,DockQ,0.765
8AQK_1,global,tm_score,0.98993
8B01_1,poly:B||poly:C,DockQ,0.086
8B01_1,global,tm_score,0.86473
8B82_1,poly:B||poly:C,DockQ,0.81
8B82_1,global,tm_score,0.46819
8BVF_1,poly:B||poly:C,DockQ,0.018
8BVF_1,global,tm_score,0.81906
8CTH_1,poly:B||poly:C,DockQ,0.016
8CTH_1,global,tm_score,0.92346
8CTI_1,poly:B||poly:C,DockQ,0.021
8CTI_1,global,tm_score,0.94923
8CYF_1,poly:B||poly:C,DockQ,0.023
8CYF_1,global,tm_score,0.93116
8D29_1,poly:B||poly:C,DockQ,0.11
8D29_1,global,tm_score,0.94263
8DCN_1,poly:B||poly:C,DockQ,0.05
8DCN_1,global,tm_score,0.66196
8DCY_1,poly:B||poly:C,DockQ,0.028
8DCY_1,global,tm_score,0.69595
8E2C_1,poly:B||poly:C,DockQ,0.284
8E2C_1,global,tm_score,0.66254
8EIA_1,poly:B||poly:C,DockQ,0.788
8EIA_1,global,tm_score,0.74135
8EIB_1,poly:B||poly:C,DockQ,0.749
8EIB_1,global,tm_score,0.75268
8EJO_1,poly:B||poly:C,DockQ,0.743
8EJO_1,global,tm_score,0.50868
8EOX_1,poly:B||poly:C,DockQ,0.685
8EOX_1,global,tm_score,0.95021
8F60_1,poly:B||poly:C,DockQ,0.029
8F60_1,global,tm_score,0.81365
8FDO_1,poly:B||poly:C,DockQ,0.187
8FDO_1,global,tm_score,0.86302
8FGX_1,poly:B||poly:C,DockQ,0.101
8FGX_1,global,tm_score,0.7391
8GOI_1,poly:B||poly:C,DockQ,0.629
8GOI_1,global,tm_score,0.85855
8HCU_1,poly:B||poly:C,DockQ,0.477
8HCU_1,global,tm_score,0.4921
8HDD_1,poly:B||poly:C,DockQ,0.087
8HDD_1,global,tm_score,0.80324
8HIT_1,poly:B||poly:C,DockQ,0.016
8HIT_1,global,tm_score,0.72536
8HML_1,poly:B||poly:C,DockQ,0.04
8HML_1,global,tm_score,0.91716
8HN9_1,poly:B||poly:C,DockQ,0.123
8HN9_1,global,tm_score,0.48688
8HUJ_1,poly:B||poly:C,DockQ,0.003
8HUJ_1,global,tm_score,0.79196
7UVP_1,lig:GTP||poly:A,ligand_rmsd,1.098526817634646
7UVP_1,global,tm_score,0.66491
7UZ0_1,lig:GTP||poly:A,ligand_rmsd,1.2157422880436044
7UZ0_1,global,tm_score,0.60821
8DVR_1,lig:GTP||poly:A,ligand_rmsd,1.1936401546320399
8DVR_1,global,tm_score,0.89516
8DWJ_1,lig:GTP||poly:A,ligand_rmsd,1.6092797486375716
8DWJ_1,global,tm_score,0.63655
7UWI_1,lig:WHL||poly:F,ligand_rmsd,0.9800703353039807
7UWI_1,global,tm_score,0.89076
7UWJ_1,lig:NAG||poly:D,ligand_rmsd,1.1407904130157163
7UWJ_1,global,tm_score,0.42294
8DFW_1,lig:NAG||poly:D,ligand_rmsd,0.30069598315526985
8DFW_1,global,tm_score,0.45601
7UWJ_1,lig:NAG||poly:A,ligand_rmsd,1.1407904130157163
7UWJ_1,global,tm_score,0.42294
7UX0_1,lig:NAG||poly:A,ligand_rmsd,4.787734145561074
7UX0_1,global,tm_score,0.37594
7XRP_1,lig:NAG||poly:A,ligand_rmsd,0.3417148790606407
7XRP_1,global,tm_score,0.38119
7XYD_1,lig:NAG||poly:A,ligand_rmsd,0.5376822574718269
7XYD_1,global,tm_score,0.68698
7YK4_1,lig:NAG||poly:A,ligand_rmsd,0.4564962861685894
7YK4_1,global,tm_score,0.73961
7ZU8_1,lig:NAG||poly:A,ligand_rmsd,5.4955837398899545
7ZU8_1,global,tm_score,0.89908
7ZVB_1,lig:NAG||poly:A,ligand_rmsd,2.0782513618080816
7ZVB_1,global,tm_score,0.88209
8A16_1,lig:NAG||poly:A,ligand_rmsd,8.783022962999212
8A16_1,global,tm_score,0.90584
8A1F_1,lig:NAG||poly:A,ligand_rmsd,3.542230804773417
8A1F_1,global,tm_score,0.6813
8A47_1,lig:NAG||poly:A,ligand_rmsd,3.6826998107948707
8A47_1,global,tm_score,0.77698
8AE4_1,lig:NAG||poly:A,ligand_rmsd,0.31108876661539203
8AE4_1,global,tm_score,0.66782
8AEZ_1,lig:NAG||poly:A,ligand_rmsd,3.451367732301418
8AEZ_1,global,tm_score,0.23721
8AFO_1,lig:NAG||poly:A,ligand_rmsd,3.499143673100607
8AFO_1,global,tm_score,0.75375
8AKP_1,lig:NAG||poly:A,ligand_rmsd,5.02194275647241
8AKP_1,global,tm_score,0.95604
8AV2_1,lig:NAG||poly:A,ligand_rmsd,0.2745736591257698
8AV2_1,global,tm_score,0.51993
8B3B_1,lig:NAG||poly:A,ligand_rmsd,3.78495314936092
8B3B_1,global,tm_score,0.83906
8B3E_1,lig:NAG||poly:A,ligand_rmsd,0.49821468407562136
8B3E_1,global,tm_score,0.78167
8B3K_1,lig:NAG||poly:A,ligand_rmsd,1.6142211762067444
8B3K_1,global,tm_score,0.47329
8B7D_1,lig:NAG||poly:A,ligand_rmsd,4.07535131754657
8B7D_1,global,tm_score,0.8849
8CX3_1,lig:NAG||poly:A,ligand_rmsd,4.202024576150339
8CX3_1,global,tm_score,0.82158
8D4Q_1,lig:NAG||poly:A,ligand_rmsd,0.2181960979093285
8D4Q_1,global,tm_score,0.75055
8D4S_1,lig:NAG||poly:A,ligand_rmsd,3.6733201362760965
8D4S_1,global,tm_score,0.74588
8DMK_1,lig:NAG||poly:A,ligand_rmsd,0.33535642126805076
8DMK_1,global,tm_score,0.32619
8DU5_1,lig:NAG||poly:A,ligand_rmsd,2.97167983698975
8DU5_1,global,tm_score,0.46638
8DVL_1,lig:NAG||poly:A,ligand_rmsd,0.27553452985580057
8DVL_1,global,tm_score,0.8785
8E0R_1,lig:NAG||poly:A,ligand_rmsd,2.9076707346996113
8E0R_1,global,tm_score,0.80107
8EDC_1,lig:NAG||poly:A,ligand_rmsd,2.199481141899477
8EDC_1,global,tm_score,0.77665
8EGW_1,lig:NAG||poly:A,ligand_rmsd,0.8181612162124814
8EGW_1,global,tm_score,0.35941
8EGX_1,lig:NAG||poly:A,ligand_rmsd,1.0241896629600813
8EGX_1,global,tm_score,0.29105
8ET6_1,lig:NAG||poly:A,ligand_rmsd,6.715911379754372
8ET6_1,global,tm_score,0.79766
8GYE_1,lig:NAG||poly:A,ligand_rmsd,3.7411814322865604
8GYE_1,global,tm_score,0.77356
8H24_1,lig:NAG||poly:A,ligand_rmsd,1.4872751897345675
8H24_1,global,tm_score,0.92859
8H7J_1,lig:NAG||poly:A,ligand_rmsd,3.7811759279167565
8H7J_1,global,tm_score,0.29662
8HC0_1,lig:NAG||poly:A,ligand_rmsd,0.3900702244468299
8HC0_1,global,tm_score,0.73091
8HMM_1,lig:NAG||poly:A,ligand_rmsd,3.272613767093732
8HMM_1,global,tm_score,0.88849
8HNB_1,lig:NAG||poly:A,ligand_rmsd,1.5639864353631727
8HNB_1,global,tm_score,0.78886
7UWO_1,lig:WHL||poly:B,ligand_rmsd,1.232181129426306
7UWO_1,global,tm_score,0.86524
7UX5_1,lig:WHL||poly:B,ligand_rmsd,0.41156007025532915
7UX5_1,global,tm_score,0.87532
7UXI_1,lig:WHL||poly:B,ligand_rmsd,1.6152602903910829
7UXI_1,global,tm_score,0.86329
7UXK_1,lig:WHL||poly:B,ligand_rmsd,1.3228787140712706
7UXK_1,global,tm_score,0.89365
7UXN_1,lig:WHL||poly:B,ligand_rmsd,1.223063621461638
7UXN_1,global,tm_score,0.94143
7UXO_1,lig:WHL||poly:B,ligand_rmsd,0.8555548596420592
7UXO_1,global,tm_score,0.9172
8EI0_1,lig:WHL||poly:B,ligand_rmsd,0.9844226981187647
8EI0_1,global,tm_score,0.94978
8EI4_1,lig:WHL||poly:B,ligand_rmsd,0.5608874638845636
8EI4_1,global,tm_score,0.62686
8EI8_1,lig:WHL||poly:B,ligand_rmsd,1.2438016045288625
8EI8_1,global,tm_score,0.64324
8EI9_1,lig:WHL||poly:B,ligand_rmsd,0.9081415634611786
8EI9_1,global,tm_score,0.74746
7UWO_1,lig:WHL||poly:A,ligand_rmsd,1.232181129426306
7UWO_1,global,tm_score,0.86524
7UXI_1,lig:WHL||poly:A,ligand_rmsd,1.6152602903910829
7UXI_1,global,tm_score,0.86329
7UXJ_1,lig:WHL||poly:A,ligand_rmsd,1.2220382841208959
7UXJ_1,global,tm_score,0.96264
7UYK_1,lig:WHL||poly:A,ligand_rmsd,1.0175078567615237
7UYK_1,global,tm_score,0.62464
8EHZ_1,lig:WHL||poly:A,ligand_rmsd,1.110962927245678
8EHZ_1,global,tm_score,0.92575
8EI2_1,lig:WHL||poly:A,ligand_rmsd,1.0732702279215875
8EI2_1,global,tm_score,0.70442
8EI4_1,lig:WHL||poly:A,ligand_rmsd,0.5608874638845636
8EI4_1,global,tm_score,0.62686
7UX0_1,lig:FUC||poly:A,ligand_rmsd,6.431266542058414
7UX0_1,global,tm_score,0.37594
7ZU8_1,lig:FUC||poly:A,ligand_rmsd,11.810275969214267
7ZU8_1,global,tm_score,0.89908
8A16_1,lig:FUC||poly:A,ligand_rmsd,22.79602923059189
8A16_1,global,tm_score,0.90584
8A1F_1,lig:FUC||poly:A,ligand_rmsd,5.851398319461768
8A1F_1,global,tm_score,0.6813
8D4Q_1,lig:FUC||poly:A,ligand_rmsd,0.6329109653023879
8D4Q_1,global,tm_score,0.75055
8DU5_1,lig:FUC||poly:A,ligand_rmsd,20.965496164484158
8DU5_1,global,tm_score,0.46638
8DVL_1,lig:FUC||poly:A,ligand_rmsd,0.3425035401276901
8DVL_1,global,tm_score,0.8785
8H7J_1,lig:FUC||poly:A,ligand_rmsd,33.39066084251702
8H7J_1,global,tm_score,0.29662
7UX5_1,poly:A||poly:B,DockQ,0.122
7UX5_1,global,tm_score,0.8768
7UXI_1,poly:A||poly:B,DockQ,0.045
7UXI_1,global,tm_score,0.88152
7UXK_1,poly:A||poly:B,DockQ,0.021
7UXK_1,global,tm_score,0.89715
7UXN_1,poly:A||poly:B,DockQ,0.315
7UXN_1,global,tm_score,0.9541
7UXO_1,poly:A||poly:B,DockQ,0.497
7UXO_1,global,tm_score,0.89414
7UXR_1,poly:A||poly:B,DockQ,0.371
7UXR_1,global,tm_score,0.65783
7UZO_1,poly:A||poly:B,DockQ,0.511
7UZO_1,global,tm_score,0.87354
7XP7_1,poly:A||poly:B,DockQ,0.698
7XP7_1,global,tm_score,0.95766
7XPC_1,poly:A||poly:B,DockQ,0.035
7XPC_1,global,tm_score,0.81819
7XS4_1,poly:A||poly:B,DockQ,0.704
7XS4_1,global,tm_score,0.96184
7XV0_1,poly:A||poly:B,DockQ,0.141
7XV0_1,global,tm_score,0.89346
7XV1_1,poly:A||poly:B,DockQ,0.552
7XV1_1,global,tm_score,0.92497
7XV4_1,poly:A||poly:B,DockQ,0.656
7XV4_1,global,tm_score,0.95392
7XYQ_1,poly:A||poly:B,DockQ,0.042
7XYQ_1,global,tm_score,0.64244
7XZQ_1,poly:A||poly:B,DockQ,0.126
7XZQ_1,global,tm_score,0.86997
7Y01_1,poly:A||poly:B,DockQ,0.029
7Y01_1,global,tm_score,0.82228
7Y0Y_1,poly:A||poly:B,DockQ,0.284
7Y0Y_1,global,tm_score,0.57981
7Y16_1,poly:A||poly:B,DockQ,0.639
7Y16_1,global,tm_score,0.88898
7Y43_1,poly:A||poly:B,DockQ,0.336
7Y43_1,global,tm_score,0.83118
7Y6B_1,poly:A||poly:B,DockQ,0.756
7Y6B_1,global,tm_score,0.95651
7Y73_1,poly:A||poly:B,DockQ,0.763
7Y73_1,global,tm_score,0.93454
7Y9N_1,poly:A||poly:B,DockQ,0.583
7Y9N_1,global,tm_score,0.89573
7YCO_1,poly:A||poly:B,DockQ,0.022
7YCO_1,global,tm_score,0.59961
7YEO_1,poly:A||poly:B,DockQ,0.009
7YEO_1,global,tm_score,0.49513
7YEY_1,poly:A||poly:B,DockQ,0.531
7YEY_1,global,tm_score,0.9351
7YFV_1,poly:A||poly:B,DockQ,0.761
7YFV_1,global,tm_score,0.82718
7YG3_1,poly:A||poly:B,DockQ,0.947
7YG3_1,global,tm_score,0.98788
7YGH_1,poly:A||poly:B,DockQ,0.53
7YGH_1,global,tm_score,0.89115
7YHO_1,poly:A||poly:B,DockQ,0.034
7YHO_1,global,tm_score,0.59064
7YHP_1,poly:A||poly:B,DockQ,0.007
7YHP_1,global,tm_score,0.50591
7YHQ_1,poly:A||poly:B,DockQ,0.145
7YHQ_1,global,tm_score,0.57741
7YI8_1,poly:A||poly:B,DockQ,0.343
7YI8_1,global,tm_score,0.73962
7YJW_1,poly:A||poly:B,DockQ,0.031
7YJW_1,global,tm_score,0.54509
7YKH_1,poly:A||poly:B,DockQ,0.099
7YKH_1,global,tm_score,0.55619
7YNE_1,poly:A||poly:B,DockQ,0.718
7YNE_1,global,tm_score,0.98018
7YOA_1,poly:A||poly:B,DockQ,0.114
7YOA_1,global,tm_score,0.48416
7YPP_1,poly:A||poly:B,DockQ,0.64
7YPP_1,global,tm_score,0.95827
7YSF_1,poly:A||poly:B,DockQ,0.243
7YSF_1,global,tm_score,0.6231
7ZWI_1,poly:A||poly:B,DockQ,0.049
7ZWI_1,global,tm_score,0.73271
8A5L_1,poly:A||poly:B,DockQ,0.451
8A5L_1,global,tm_score,0.96044
8A60_1,poly:A||poly:B,DockQ,0.007
8A60_1,global,tm_score,0.8371
8A9N_1,poly:A||poly:B,DockQ,0.8
8A9N_1,global,tm_score,0.96984
8AAA_1,poly:A||poly:B,DockQ,0.013
8AAA_1,global,tm_score,0.84273
8AAJ_1,poly:A||poly:B,DockQ,0.643
8AAJ_1,global,tm_score,0.78249
8ACC_1,poly:A||poly:B,DockQ,0.001
8ACC_1,global,tm_score,0.39412
8AD2_1,poly:A||poly:B,DockQ,0.068
8AD2_1,global,tm_score,0.57193
8ADB_1,poly:A||poly:B,DockQ,0.161
8ADB_1,global,tm_score,0.66243
8AE4_1,poly:A||poly:B,DockQ,0.038
8AE4_1,global,tm_score,0.6732
8AEL_1,poly:A||poly:B,DockQ,0.327
8AEL_1,global,tm_score,0.784
8AEP_1,poly:A||poly:B,DockQ,0.014
8AEP_1,global,tm_score,0.4873
8AFI_1,poly:A||poly:B,DockQ,0.351
8AFI_1,global,tm_score,0.90589
8AG0_1,poly:A||poly:B,DockQ,0.153
8AG0_1,global,tm_score,0.65185
8AHR_1,poly:A||poly:B,DockQ,0.861
8AHR_1,global,tm_score,0.98434
8AIN_1,poly:A||poly:B,DockQ,0.067
8AIN_1,global,tm_score,0.73334
8AIW_1,poly:A||poly:B,DockQ,0.039
8AIW_1,global,tm_score,0.64594
8AVH_1,poly:A||poly:B,DockQ,0.766
8AVH_1,global,tm_score,0.93267
8AW4_1,poly:A||poly:B,DockQ,0.07
8AW4_1,global,tm_score,0.79697
8AYV_1,poly:A||poly:B,DockQ,0.855
8AYV_1,global,tm_score,0.97899
8B01_1,poly:A||poly:B,DockQ,0.777
8B01_1,global,tm_score,0.93621
8B0P_1,poly:A||poly:B,DockQ,0.258
8B0P_1,global,tm_score,0.95658
8B0R_1,poly:A||poly:B,DockQ,0.319
8B0R_1,global,tm_score,0.70689
8B1N_1,poly:A||poly:B,DockQ,0.369
8B1N_1,global,tm_score,0.70425
8B5C_1,poly:A||poly:B,DockQ,0.83
8B5C_1,global,tm_score,0.97817
8B5S_1,poly:A||poly:B,DockQ,0.012
8B5S_1,global,tm_score,0.54886
8B6Z_1,poly:A||poly:B,DockQ,0.001
8B6Z_1,global,tm_score,0.55988
8B73_1,poly:A||poly:B,DockQ,0.493
8B73_1,global,tm_score,0.82337
8B82_1,poly:A||poly:B,DockQ,0.018
8B82_1,global,tm_score,0.46401
8B9K_1,poly:A||poly:B,DockQ,0.027
8B9K_1,global,tm_score,0.71076
8B9S_1,poly:A||poly:B,DockQ,0.272
8B9S_1,global,tm_score,0.80469
8B9T_1,poly:A||poly:B,DockQ,0.835
8B9T_1,global,tm_score,0.94768
8B9U_1,poly:A||poly:B,DockQ,0.029
8B9U_1,global,tm_score,0.4847
8BBQ_1,poly:A||poly:B,DockQ,0.026
8BBQ_1,global,tm_score,0.51621
8BK6_1,poly:A||poly:B,DockQ,0.024
8BK6_1,global,tm_score,0.53592
8BNB_1,poly:A||poly:B,DockQ,0.03
8BNB_1,global,tm_score,0.35166
8BNT_1,poly:A||poly:B,DockQ,0.672
8BNT_1,global,tm_score,0.94192
8BPT_1,poly:A||poly:B,DockQ,0.01
8BPT_1,global,tm_score,0.42891
8BUY_1,poly:A||poly:B,DockQ,0.572
8BUY_1,global,tm_score,0.89439
8BV0_1,poly:A||poly:B,DockQ,0.01
8BV0_1,global,tm_score,0.59458
8BVE_1,poly:A||poly:B,DockQ,0.514
8BVE_1,global,tm_score,0.87646
8BVK_1,poly:A||poly:B,DockQ,0.067
8BVK_1,global,tm_score,0.70576
8BVR_1,poly:A||poly:B,DockQ,0.017
8BVR_1,global,tm_score,0.65943
8BZR_1,poly:A||poly:B,DockQ,0.012
8BZR_1,global,tm_score,0.62786
8BZY_1,poly:A||poly:B,DockQ,0.066
8BZY_1,global,tm_score,0.78412
8C0J_1,poly:A||poly:B,DockQ,0.612
8C0J_1,global,tm_score,0.92302
8C26_1,poly:A||poly:B,DockQ,0.85
8C26_1,global,tm_score,0.95252
8C2P_1,poly:A||poly:B,DockQ,0.746
8C2P_1,global,tm_score,0.98323
8C3N_1,poly:A||poly:B,DockQ,0.725
8C3N_1,global,tm_score,0.95143
8CUS_1,poly:A||poly:B,DockQ,0.859
8CUS_1,global,tm_score,0.96924
8CWS_1,poly:A||poly:B,DockQ,0.009
8CWS_1,global,tm_score,0.77946
8CZF_1,poly:A||poly:B,DockQ,0.769
8CZF_1,global,tm_score,0.92403
8CZH_1,poly:A||poly:B,DockQ,0.764
8CZH_1,global,tm_score,0.92899
8CZQ_1,poly:A||poly:B,DockQ,0.37
8CZQ_1,global,tm_score,0.84004
8D06_1,poly:A||poly:B,DockQ,0.828
8D06_1,global,tm_score,0.96169
8D0C_1,poly:A||poly:B,DockQ,0.771
8D0C_1,global,tm_score,0.94862
8D4S_1,poly:A||poly:B,DockQ,0.043
8D4S_1,global,tm_score,0.73788
8DAM_1,poly:A||poly:B,DockQ,0.015
8DAM_1,global,tm_score,0.51513
8DAX_1,poly:A||poly:B,DockQ,0.017
8DAX_1,global,tm_score,0.47733
8DC0_1,poly:A||poly:B,DockQ,0.007
8DC0_1,global,tm_score,0.59487
8DC2_1,poly:A||poly:B,DockQ,0.039
8DC2_1,global,tm_score,0.34562
8DFK_1,poly:A||poly:B,DockQ,0.745
8DFK_1,global,tm_score,0.90712
8DFX_1,poly:A||poly:B,DockQ,0.01
8DFX_1,global,tm_score,0.48214
8DGN_1,poly:A||poly:B,DockQ,0.765
8DGN_1,global,tm_score,0.97086
8DJH_1,poly:A||poly:B,DockQ,0.22
8DJH_1,global,tm_score,0.81737
8DKO_1,poly:A||poly:B,DockQ,0.356
8DKO_1,global,tm_score,0.91785
8DLE_1,poly:A||poly:B,DockQ,0.021
8DLE_1,global,tm_score,0.81009
8DPA_1,poly:A||poly:B,DockQ,0.236
8DPA_1,global,tm_score,0.40789
8DQO_1,poly:A||poly:B,DockQ,0.004
8DQO_1,global,tm_score,0.48218
8DS5_1,poly:A||poly:B,DockQ,0.095
8DS5_1,global,tm_score,0.83216
8DTQ_1,poly:A||poly:B,DockQ,0.842
8DTQ_1,global,tm_score,0.9511
8DU5_1,poly:A||poly:B,DockQ,0.004
8DU5_1,global,tm_score,0.46918
8DVH_1,poly:A||poly:B,DockQ,0.45
8DVH_1,global,tm_score,0.87749
8DVL_1,poly:A||poly:B,DockQ,0.183
8DVL_1,global,tm_score,0.84323
