target_id,ligand_rmsd,pocket_rmsd,rmsd_≤_2å,rmsd_≤_5å,protein_tm_score,protein_rmsd,sanitization,all_atoms_connected,molecular_formula,molecular_bonds,double_bond_stereochemistry,tetrahedral_chirality,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,double_bond_flatness,internal_energy,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters
6XBO_5MC,0.7460323960184911,0.803,True,True,0.94186,1.94,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6XCT_478,0.8488642763800853,0.795,True,True,0.98268,0.9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6XG5_TOP,0.36678115831547,0.364,True,True,0.98898,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6XHT_V2V,3.7362603081549497,2.381,False,True,0.31017,5.4,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
6XM9_V55,3.9396335325648106,1.758,False,True,0.97476,1.3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6YJA_2BA,6.149422136007431,5.059,False,False,0.95318,1.01,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
6YMS_OZH,0.9446000798523904,0.87,True,True,0.99067,0.63,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6YQV_8K2,0.2288923305836174,0.54,True,True,0.99168,0.61,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6YQW_82I,0.34314020987981536,0.311,True,True,0.99116,0.35,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6YR2_T1C,0.8958361631406022,0.938,True,True,0.93558,1.94,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6YRV_PJ8,2.0436668339617627,3.241,False,True,0.96028,1.56,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6YSP_PAL,1.3494462542557972,1.48,True,True,0.96859,1.94,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6YT6_PKE,0.8274315890248137,0.771,True,True,0.5236,2.96,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6YYO_Q1K,0.8304197347061748,0.579,True,True,0.9871,0.86,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6Z0R_Q4H,0.31690116580550787,0.408,True,True,0.97282,1.09,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6Z14_Q4Z,0.7921279505231464,1.29,True,True,0.90154,3.35,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6Z1C_7EY,0.5121990060691075,0.713,True,True,0.97899,1.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6Z2C_Q5E,3.1627746229804665,3.643,False,True,0.31483,2.46,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6Z4N_Q7B,1.0047083430030839,0.951,True,True,0.97395,1.31,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6ZAE_ACV,0.41447566374074757,0.646,True,True,0.99067,0.65,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6ZC3_JOR,0.8786863296990561,0.699,True,True,0.55675,3.13,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6ZCY_QF8,0.3233977666196002,0.394,True,True,0.98887,0.65,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6ZK5_IMH,1.294179474863473,0.854,True,True,0.97541,1.4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6ZPB_3D1,0.6957583428652988,0.749,True,True,0.96059,1.1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7A1P_QW2,0.22503495625893633,0.888,True,True,0.98884,0.73,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7A9E_R4W,2.4345138221008313,2.502,False,True,0.96592,1.51,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7A9H_TPP,0.9815676729285973,2.726,True,True,0.92889,3.19,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7AFX_R9K,0.5487464264120543,0.571,True,True,0.97181,1.27,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7AKL_RK5,0.24031513301890622,0.436,True,True,0.97848,0.99,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7AN5_RDH,1.7337694846778218,1.017,True,True,0.96128,1.58,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7B2C_TP7,1.0971193790580687,1.372,True,True,0.6454,6.33,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7B94_ANP,1.2376925260468603,3.828,True,True,0.76055,4.76,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7BCP_GCO,0.56115126234445,0.667,True,True,0.98271,0.86,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7BJJ_TVW,0.6745582102383751,0.557,True,True,0.97382,1.2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7BKA_4JC,4.866649596916411,2.419,False,True,0.38991,1.21,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7BMI_U4B,0.24530680319206052,0.245,True,True,0.92564,2.23,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7BNH_BEZ,1.0142312452734281,0.745,True,True,0.72156,3.43,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7BTT_F8R,0.48126038326461057,0.697,True,True,0.98459,0.82,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7C0U_FGO,5.259097076495166,3.301,False,False,0.50953,3.53,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7C3U_AZG,2.964764864507501,1.299,False,True,0.96311,0.7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7C8Q_DSG,1.5475976777645477,0.969,True,True,0.95651,1.91,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7CD9_FVR,1.025563532893014,1.052,True,True,0.97789,1.13,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7CIJ_G0C,0.6744386300578319,0.922,True,True,0.95969,2.08,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7CL8_TES,0.5331927628737586,0.664,True,True,0.9743,1.22,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7CNQ_G8X,4.968407628428068,13.95,False,True,0.1303,12.17,True,True,True,True,True,True,False,False,True,True,True,False,True,False,True,True,True,False,True,True,True
7CNS_PMV,0.36411267192607133,0.718,True,True,0.98523,0.99,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7CTM_BDP,0.6577528732796946,0.708,True,True,0.98329,1.01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7CUO_PHB,2.556243527522366,1.176,False,True,0.94808,1.88,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7D5C_GV6,0.608875034320964,1.439,True,True,0.69405,5.46,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7D6O_MTE,8.025978409904305,10.447,False,False,0.07989,13.45,True,True,True,True,True,False,False,False,False,False,True,False,True,False,True,True,True,False,True,True,True
7DKT_GLF,0.8307691320898564,1.274,True,True,0.92074,2.85,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7DQL_4CL,0.6645999933126026,0.751,True,True,0.94277,2.16,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7DUA_HJ0,0.3857789364728025,0.481,True,True,0.97372,1.26,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7E4L_MDN,1.2317853082236188,0.973,True,True,0.5278,3.61,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7EBG_J0L,0.44060276813215116,0.617,True,True,0.94127,2.41,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7ECR_SIN,2.17883158739954,1.513,False,True,0.63484,2.75,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7ED2_A3P,0.44633230271227775,0.713,True,True,0.98569,0.91,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7ELT_TYM,0.7204414328091553,1.037,True,True,0.96227,1.34,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7EPV_FDA,0.5671372350641655,0.868,True,True,0.96729,1.31,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7ES1_UDP,0.4894044781160057,0.912,True,True,0.97847,1.1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7F51_BA7,0.887441441730101,1.656,True,True,0.93279,2.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7F5D_EUO,0.6981644123461654,0.649,True,True,0.9914,0.36,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7F8T_FAD,0.827272052740381,0.964,True,True,0.92924,1.89,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7FB7_8NF,2.119280787856526,1.129,False,True,0.52439,3.67,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7FHA_ADX,0.9720508089524874,1.258,True,True,0.95433,2.16,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7FRX_O88,5.410543541549223,3.53,False,False,0.95762,2.54,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
7FT9_4MB,5.326811097645569,2.919,False,False,0.22587,3.43,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7JG0_GAR,0.36031218023017536,0.537,True,True,0.99107,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7JHQ_VAJ,2.203334942762902,1.492,False,True,0.26077,2.55,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7JMV_4NC,0.6451483641908914,0.723,True,True,0.93889,1.72,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7JXX_VP7,0.16755940200418226,0.38,True,True,0.98206,0.88,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7JY3_VUD,2.230294236276991,1.912,False,True,0.97797,1.28,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7K0V_VQP,1.2445686584616376,2.418,True,True,0.31113,6.07,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7KB1_WBJ,0.6348019569483504,0.807,True,True,0.97744,2.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7KC5_BJZ,0.4856880714025233,1.419,True,True,0.48904,1.07,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7KM8_WPD,0.8040280761524311,0.592,True,True,0.49681,0.53,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7KQU_YOF,0.6516683430133101,0.666,True,True,0.95348,2.09,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7KRU_ATP,0.6875702145962975,1.031,True,True,0.4,5.29,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7KZ9_XN7,1.9456788565247018,1.873,True,True,0.4761,2.38,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7L00_XCJ,1.3004707844127494,1.0,True,True,0.57131,5.34,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7L03_F9F,0.723209777186524,1.042,True,True,0.97302,1.51,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7L5F_XNG,0.803646818502312,0.609,True,True,0.99029,0.58,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7L7C_XQ1,1.1266037578238668,0.835,True,True,0.8057,3.65,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7LCU_XTA,0.861905119860084,1.36,True,True,0.9801,1.06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7LEV_0JO,1.0246853747091624,4.626,True,True,0.92856,2.22,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7LJN_GTP,1.4074140473311323,1.229,True,True,0.30234,5.23,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7LMO_NYO,1.577898244672495,1.475,True,True,0.91379,2.33,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7LOE_Y84,0.18004662779907288,0.328,True,True,0.98709,0.55,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7LOU_IFM,0.6681235245072586,1.064,True,True,0.46107,3.15,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7LT0_ONJ,0.2981690379385238,0.32,True,True,0.99242,0.47,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7LZD_YHY,0.4960447052990008,0.634,True,True,0.98338,0.75,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7M31_TDR,0.9822765632278245,1.013,True,True,0.5452,7.35,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7M3H_YPV,1.3209436177407423,1.387,True,True,0.94912,2.31,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7M6K_YRJ,1.377352263540009,1.17,True,True,0.49713,1.73,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7MFP_Z7P,1.3976853438453163,1.261,True,True,0.48153,2.57,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
7MGT_ZD4,0.6209152610691508,0.688,True,True,0.97974,0.95,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7MGY_ZD1,0.9486392689577516,0.883,True,True,0.5834,6.58,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7MMH_ZJY,0.4350681987273485,0.615,True,True,0.98727,0.63,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7MOI_HPS,0.6500709345909874,0.697,True,True,0.98967,0.66,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7MSR_DCA,0.7429476143440898,1.012,True,True,0.95116,2.12,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7MWN_WI5,0.4704729468843028,0.983,True,True,0.97274,1.45,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7MWU_ZPM,1.1878592094303817,0.805,True,True,0.81131,2.52,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7MY1_IPE,5.804627299712828,3.079,False,False,0.97474,1.19,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7MYU_ZR7,0.9003362741617306,0.901,True,True,0.49331,1.06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7N03_ZRP,0.39895739255142054,0.642,True,True,0.98915,0.49,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7N4N_0BK,0.37208925382561125,0.856,True,True,0.9644,1.53,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7N4W_P4V,0.5206541565849933,1.35,True,True,0.9316,1.44,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7N6F_0I1,0.9137944437260581,0.916,True,True,0.9539,1.12,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7N7B_T3F,1.233276207737516,1.048,True,True,0.95471,1.74,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7N7H_CTP,0.5084120169365763,0.747,True,True,0.97881,0.89,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7NF0_BYN,0.7202659460039552,0.921,True,True,0.95862,2.24,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7NF3_4LU,0.6042883114319964,0.842,True,True,0.94634,2.09,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7NFB_GEN,0.9302723222261319,0.799,True,True,0.98086,1.14,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7NGW_UAW,0.39201275189342893,0.703,True,True,0.9694,1.02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7NLV_UJE,0.7336237679200026,0.566,True,True,0.97983,1.05,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7NP6_UK8,0.34065051464073787,0.586,True,True,0.9888,0.62,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7NPL_UKZ,0.6747577016425422,1.165,True,True,0.97158,1.23,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7NR8_UOE,0.4690347961505624,0.715,True,True,0.98127,0.94,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7NSW_HC4,0.860321583769698,0.858,True,True,0.57213,4.45,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7NU0_DCL,1.514209715495182,1.63,True,True,0.79593,5.12,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7NUT_GLP,0.5253952042272563,0.565,True,True,0.97528,1.61,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7NXO_UU8,1.5642742058783912,1.616,True,True,0.97144,1.58,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7O0N_CDP,2.228578748709589,1.374,False,True,0.96246,1.42,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7O1T_5X8,0.535917279064596,2.447,True,True,0.96211,1.4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7ODY_DGI,0.7277635317520027,0.651,True,True,0.983,1.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7OEO_V9Z,0.4976590810359032,2.062,True,True,0.99265,0.34,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7OFF_VCB,0.2580550149497982,0.597,True,True,0.99299,0.53,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7OFK_VCH,0.3664602632911631,0.667,True,True,0.98903,0.64,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7OLI_8HG,0.765945004879593,0.603,True,True,0.51825,2.25,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7OMX_CNA,0.5768332544237466,0.772,True,True,0.96977,0.9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7OP9_06K,8.943118258852344,14.027,False,False,0.09327,12.73,True,True,True,True,True,True,False,False,True,True,True,False,True,False,True,True,True,False,True,True,True
7OPG_06N,5.0752873064643245,2.7,False,False,0.34136,3.56,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7OSO_0V1,2.067205743786248,1.097,False,True,0.97442,1.23,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7OZ9_NGK,3.9751440710071315,2.329,False,True,0.49143,1.45,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
7OZC_G6S,1.0381957799471153,1.87,True,True,0.94971,1.96,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7P1F_KFN,0.7844787737540057,1.235,True,True,0.48327,1.92,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7P1M_4IU,0.6315217015933283,0.622,True,True,0.89237,2.29,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7P2I_MFU,12.19714091419925,6.874,False,False,0.97949,0.89,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7P4C_5OV,0.5409789378986947,0.783,True,True,0.96249,1.91,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7P5T_5YG,0.8248156863940809,1.006,True,True,0.97721,1.15,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7PGX_FMN,0.4752510005758926,0.519,True,True,0.93388,1.46,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7PIH_7QW,1.0464917938442388,1.046,True,True,0.98971,0.72,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7PJQ_OWH,0.7635736696612843,0.596,True,True,0.57001,3.68,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7PK0_BYC,0.652092574223279,0.791,True,True,0.98396,0.81,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7PL1_SFG,0.3545859317048024,0.96,True,True,0.93926,1.77,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7POM_7VZ,0.6375249888150556,0.843,True,True,0.48484,1.45,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7PRI_7TI,3.4116862859149286,1.863,False,True,0.9704,1.47,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7PRM_81I,0.8093666244740391,0.623,True,True,0.97632,1.21,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7PT3_3KK,2.0238195081284993,3.36,False,True,0.92822,3.19,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7PUV_84Z,1.1518411893211091,1.02,True,True,0.51049,2.97,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7Q25_8J9,1.3627929390954756,1.745,True,True,0.46268,3.59,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7Q27_8KC,1.72939049279549,1.082,True,True,0.97973,1.3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7Q2B_M6H,2.996205823064675,1.568,False,True,0.95415,1.77,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7Q5I_I0F,0.8478341152826047,1.015,True,True,0.96986,1.75,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7QE4_NGA,16.250668422416762,13.413,False,False,0.42543,5.9,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7QF4_RBF,0.39717197180212155,0.426,True,True,0.94891,1.3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7QFM_AY3,0.2569075767664358,1.107,True,True,0.98172,0.92,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7QGP_DJ8,1.1658896121478595,1.168,True,True,0.97136,1.14,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7QHG_T3B,1.6037955821381087,2.348,True,True,0.54328,4.09,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7QHL_D5P,1.3693532396719263,1.145,True,True,0.4976,2.35,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7QPP_VDX,0.3992427198250872,0.577,True,True,0.98538,0.75,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7QTA_URI,2.2759622536413033,1.312,False,True,0.5603,3.43,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7R3D_APR,1.2065909344328574,1.11,True,True,0.94924,2.2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
